message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.960481402";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.945649991";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.944923878";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.932182486";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.930192830";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.928350505";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.915663285";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.913693247";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.912853551";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.900222602";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.898217156";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.896307041";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.884748929";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.881792154";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.880848597";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.868193301";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.866366388";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.864345092";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim1.sim";"1695476438.851787799";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim2.sim";"1695476438.849938494";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=11.105570, y=11.116197])";"30";"turtlesim3.sim";"1695476438.848761533";"/home/mubiys/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
